Locked,Name,Version,Created By,Created On,Status,Published
N,dq_stg_invoice_details_BuyerDtls_buyer_trade_name,1631621706,aroy,Tue Sep 14 08:15:06 EDT 2021,Y,N
N,dq_stg_invoice_details_BuyerDtls_buyer_legal_name,1631621677,aroy,Tue Sep 14 08:14:37 EDT 2021,Y,N
N,dq_stg_invoice_details_SellerDtls_supplier_email,1631621473,aroy,Tue Sep 14 08:11:13 EDT 2021,Y,N
N,dq_stg_invoice_details_SellerDtls_supplier_phone,1631621436,aroy,Tue Sep 14 08:10:36 EDT 2021,Y,N
N,dq_stg_invoice_details_SellerDtls_supplier_state,1631621398,aroy,Tue Sep 14 08:09:58 EDT 2021,Y,N
N,dq_stg_invoice_details_SellerDtls_supplier_pincode,1631621355,aroy,Tue Sep 14 08:09:15 EDT 2021,Y,N
N,dq_stg_invoice_details_SellerDtls_supplier_place,1631621080,aroy,Tue Sep 14 08:04:40 EDT 2021,Y,N
N,dq_stg_invoice_details_SellerDtls_supplier_address2,1631621044,aroy,Tue Sep 14 08:04:04 EDT 2021,Y,N
N,dq_stg_invoice_details_SellerDtls_supplier_address1,1631621015,aroy,Tue Sep 14 08:03:35 EDT 2021,Y,N
N,dq_stg_invoice_details_SellerDtls_supplier_trade_name,1631620985,aroy,Tue Sep 14 08:03:05 EDT 2021,Y,N
N,dq_stg_invoice_details_SellerDtls_supplier_legal_name,1631620931,aroy,Tue Sep 14 08:02:11 EDT 2021,Y,N
N,dq_stg_invoice_details_DocDtls_document_date,1631620701,aroy,Tue Sep 14 07:58:21 EDT 2021,Y,N
N,dq_stg_invoice_details_DocDtls_document_type_code,1631620534,aroy,Tue Sep 14 07:55:34 EDT 2021,Y,N
N,dq_stg_invoice_details_TranDtls_igst_on_intrastate_supply,1631620328,aroy,Tue Sep 14 07:52:08 EDT 2021,Y,N
N,dq_stg_invoice_details_TranDtls_reverse_charge,1631620071,aroy,Tue Sep 14 07:47:51 EDT 2021,Y,N
N,dq_stg_invoice_details_TranDtls_tax_scheme,1631619966,aroy,Tue Sep 14 07:46:06 EDT 2021,Y,N
N,dq_stg_invoice_details_TranDtls_supply_type_code,1631619946,aroy,Tue Sep 14 07:45:46 EDT 2021,Y,N
N,dq_stg_invoice_details_version,1631619366,aroy,Tue Sep 14 07:36:06 EDT 2021,Y,N
